Wordpress ID	Sort Order	Title	Location	Size (Sq. Ft)	Role	Designed By	Architecture by	Category	Sub-Category / Filter	Link
1907	17	Sullivan St duplex	SOHO	6000	Millwork + Finishes	Butter and Eggs Design	Michael Tower Architecture	Residential		https://www.streamlineusa.com/residential/sullivan-st-duplex-2/
	17	Mexicue	NoHo	3500	General Contractor	Treehouse Designs	SWA Architecture	Commercial		
1931	18	Mackage SoHo	SoHo	4500	General Contractor	Burdifilek		Commercial		https://www.streamlineusa.com/commercial/mackage-soho/
2409	18	Upper West Side Apartment	Upper West Side	1400	General Contractor	Yael and Ori Morag	MZA Architecture	Residential		https://www.streamlineusa.com/residential/upper-west-side-apartment/
2425	19	My Darling Ivy	Chelsea	1500	General Contractor	VJ Moscaritola	Studio Stigsby	Commercial		https://www.streamlineusa.com/commercial/my-darling-ivy/
2838	19	53rd st studio	Hell's Kitchen	750	General Contractor	LDN interiors	Lynh Nguyen	Residential		https://www.streamlineusa.com/residential/53rd-st-studio/
534	20	Thompson St. Studio	SOHO	600	General Contractor + Millwork	Efrain Perez	SWA Architecture	Residential		https://www.streamlineusa.com/residential/thompson-st-studio/
564	20	Washington Sq. Dermatology	West Village	2500	General Contractor	Samer Jaber	Walter Scott Architecture	Commercial		https://www.streamlineusa.com/commercial/upper-east-side-townhouse/
503	21	Free People Retail Store	Meatpacking District	7000	Carpentry + Finishes	David Levy Design	David Levy Architecture	Commercial	Retail	https://www.streamlineusa.com/commercial/free-people-retail-store/
527	21	1st Ave Apartment	Murray Hill	2000	General Contractor + Millwork	Lua Scremin	SWA Architecture	Residential		https://www.streamlineusa.com/residential/1st-ave-apt/
2345	22	Motel 23 Lounge	Chelsea	3500	General Contractor	Colin Fuda	Atelier New York	Commercial		https://www.streamlineusa.com/commercial/motel-23-lounge/
2366	22	Wainscott, East Hampton Residence	Wainscott, East Hampton	3200	Construction Consultant	Nathalie Akiya Design		Residential		https://www.streamlineusa.com/residential/wainscott-east-hampton-residence/
2384	23	Ground Central Coffee Company	Murray Hill	550	General Contractor	Daniel O'Connor Architects	Daniel O'Connor Architects	Commercial		https://www.streamlineusa.com/commercial/ground-central-coffee-company/
558	24	Atrium Corporate Office	NoHo	5000	General Contractor + Millwork	Sam Ben avraham	Bang 3 Design	Commercial		https://www.streamlineusa.com/commercial/autrium-corporate-office/
	bottom	262 Mott St	Soho	1400	General Contractor	Matthew Weiner	-	Residential		need copy
	middle	92 Laight St	Tribeca	2500	General Contractor	Holly Jonsson Design	-	Residential		Need Copy
	middle	652 Hudson st	Meatpacking District	1800	General Contractor	Built In Studios	Built In Studios	Residential		Need pics and copy
		870 UN Plaza								
		149 Madison Ave								
		220 w19th st Covision Corporate office								
		218 Carlton Ave Townhouse p								
		144 w23rd st								
		514 Broadway Loft								
		Chaps & Co men's barber shop								
https://paper.design/docs/mcp										
