url	set	verdict_in_tsv	http_status	final_url	ok	notes
https://www.streamlineusa.com/residential/madison-ave-duplex-penthouse/	legacy	301	301	https://www.streamlineusa.com/residential/madison-ave-duplex-2/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=madison-ave-duplex-penthouse claimant=madison-ave-duplex-2 wp_id=523; 301 lands on tsv new_path
https://www.streamlineusa.com/residential/madison-avenue-penthouse/	legacy	301	301	https://www.streamlineusa.com/residential/madison-ave-duplex-2/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=madison-avenue-penthouse claimant=madison-ave-duplex-2 wp_id=523; 301 lands on tsv new_path
https://www.streamlineusa.com/residential/warren-st-apt-2/	legacy	301	301	https://www.streamlineusa.com/residential/madison-ave-duplex-2/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=warren-st-apt-2 claimant=madison-ave-duplex-2 wp_id=523; 301 lands on tsv new_path
https://www.streamlineusa.com/commercial/free-people-retail-store-2/	legacy	301	301	https://www.streamlineusa.com/commercial/mint-kitchen-restaurant/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=free-people-retail-store-2 claimant=mint-kitchen-restaurant wp_id=443; 301 lands on tsv new_path
https://www.streamlineusa.com/commercial/mint-kitchen-restaurant-2/	legacy	301	301	https://www.streamlineusa.com/commercial/mint-kitchen-restaurant/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=mint-kitchen-restaurant-2 claimant=mint-kitchen-restaurant wp_id=443; 301 lands on tsv new_path
https://www.streamlineusa.com/commercial/5th-avenue-townhouse-2/	legacy	301	301	https://www.streamlineusa.com/commercial/my-darling-ivy/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=5th-avenue-townhouse-2 claimant=my-darling-ivy wp_id=2425; 301 lands on tsv new_path
https://www.streamlineusa.com/residential/riverside-apartment/	legacy	301	301	https://www.streamlineusa.com/residential/riverside-drive-apartment/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=riverside-apartment claimant=riverside-drive-apartment wp_id=2842; 301 lands on tsv new_path
https://www.streamlineusa.com/residential/riverside-apt/	legacy	301	301	https://www.streamlineusa.com/residential/riverside-drive-apartment/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=riverside-apt claimant=riverside-drive-apartment wp_id=2842; 301 lands on tsv new_path
https://www.streamlineusa.com/residential/st-lukes-place-townhouse-2/	legacy	301	301	https://www.streamlineusa.com/residential/st-lukes-place-townhouse/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=st-lukes-place-townhouse-2 claimant=st-lukes-place-townhouse wp_id=531; 301 lands on tsv new_path
https://www.streamlineusa.com/residential/west-village-townhouse-2/	legacy	301	301	https://www.streamlineusa.com/residential/st-lukes-place-townhouse/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=west-village-townhouse-2 claimant=st-lukes-place-townhouse wp_id=531; 301 lands on tsv new_path
https://www.streamlineusa.com/residential/thompson-st-studio-2/	legacy	301	301	https://www.streamlineusa.com/residential/thompson-st-studio/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=thompson-st-studio-2 claimant=thompson-st-studio wp_id=534; 301 lands on tsv new_path
https://www.streamlineusa.com/residential/upper-west-side-apartment-2/	legacy	301	301	https://www.streamlineusa.com/residential/thompson-st-studio/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=upper-west-side-apartment-2 claimant=thompson-st-studio wp_id=534; 301 lands on tsv new_path
