old_slug	old_path	current_slug	new_path	wp_id	title	claimants	verdict	note
mint-kitchen-restaurant	/residential/mint-kitchen-restaurant/	69th-st-townhouse	/residential/69th-st-townhouse/	570	69th St Townhouse	1	SKIP	retired slug is another project's LIVE slug (Mint Kitchen Restaurant) — a 301 here would hijack a live URL
mexicue	/residential/mexicue/	duane-street-penthouse	/residential/duane-street-penthouse/	552	Duane Street Penthouse	2	SKIP	retired slug is another project's LIVE slug (Mexicue) — a 301 here would hijack a live URL
thompson-st-studio	/commercial/thompson-st-studio/	ground-central-coffee-company	/commercial/ground-central-coffee-company/	2384	Ground Central Coffee Company	1	SKIP	retired slug is another project's LIVE slug (Thompson St. Studio) — a 301 here would hijack a live URL
upper-east-side-townhouse	/residential/upper-east-side-townhouse/	lexington-ave-townhouse	/residential/lexington-ave-townhouse/	1835	Lexington Ave Townhouse	1	SKIP	retired slug is another project's LIVE slug (Washington Sq. Dermatology) — a 301 here would hijack a live URL
haus-nightclub	/residential/haus-nightclub/	riverside-drive-apartment	/residential/riverside-drive-apartment/	2842	Riverside Drive Apartment	1	SKIP	retired slug is another project's LIVE slug (Haus Nightclub) — a 301 here would hijack a live URL
tribeca-loft	/residential/tribeca-loft/	sullivan-st-duplex-2	/residential/sullivan-st-duplex-2/	1907	Sullivan St duplex	1	SKIP	retired slug is another project's LIVE slug (Tribeca Loft) — a 301 here would hijack a live URL
ground-central-coffee-company	/commercial/ground-central-coffee-company/	vivvi-daycare-hudson-yards	/commercial/vivvi-daycare-hudson-yards/	2853	Vivvi Daycare Hudson Yards	1	SKIP	retired slug is another project's LIVE slug (Ground Central Coffee Company) — a 301 here would hijack a live URL
mexicue	/residential/mexicue/	warren-st-apt	/residential/warren-st-apt/	2847	WARREN ST APT	2	SKIP	retired slug is another project's LIVE slug (Mexicue) — a 301 here would hijack a live URL
st-lukes-place-townhouse	/residential/st-lukes-place-townhouse/	west-23rd-townhouse-2	/residential/west-23rd-townhouse-2/	537	West 23rd St. Townhouse	1	SKIP	retired slug is another project's LIVE slug (St. Lukes Place townhouse) — a 301 here would hijack a live URL
hudson-street-penthouse	/residential/hudson-street-penthouse/	wyckoff-townhouse	/residential/wyckoff-townhouse/	2860	Wyckoff Townhouse	1	SKIP	retired slug is another project's LIVE slug (Hudson Street Penthouse) — a 301 here would hijack a live URL
