ID,Title,Date,Permalink,"Image Featured",Categories,Order,"Project Gallery",Location,Description,"Size (Sq. Ft)",Role,"Designed By","Architecture by"
517,"Hudson Street Penthouse","2019-12-02 03:09:00",https://www.staging8.streamlineusa.com/residential/hudson-street-penthouse-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Hudson-Featured-1.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Hudson-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/i-Dpjk2Rc-X2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/i-CS9WgLM-X2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/i-7HqhMqw-X2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/i-Khm4Tpw-X2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/i-pSZ2SP3-X3.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/i-tVwN3fB-X2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/i-Nssb2GP-X2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/i-xTCMsVL-X2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/i-WcQdmRm-X2.jpg,Tribeca,"Streamline refurbished an existing penthouse location with millwork and intricate wall coverings. We upgraded the apartment with new doors, matching floor and trim finishes. Combining the existing structural components with modern details created a chic and refined look. Fabrications of custom millwork furniture matching decorative ceiling details and intricate wall coverings. Streamline performed the millwork and finishes.",3500,"Millwork + Finishes",,
520,"Tribeca Loft","2019-12-12 03:13:00",https://www.staging8.streamlineusa.com/residential/tribeca-loft/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Tribeca-Loft-Featured-scaled.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Tribeca-Loft-Featured-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1243-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1244-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1245-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1246-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1247-scaled.jpg,Tribeca,"Our mission was to remodel and beautify an old loft space in Tribeca. Dealing with a very small elevator and having to carry most of the interior finishes up the stairs was a challenge. We worked with boom lifts to hoist millwork through the window to insure quality. We handled fabrications of custom millwork furniture matching decorative ceiling details and intricate wall coverings. Streamline self performed the millwork and finishes.",2500,"Millwork + Finishes",,
523,"Madison Ave Duplex Penthouse","2019-12-09 03:15:36",https://www.staging8.streamlineusa.com/residential/madison-ave-duplex-penthouse/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Residential-_-215-Madision-_-Residence-3.425x3.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Residential-_-215-Madision-_-Residence-3.425x3-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Residential-_-215-Madision-_-Residence-8.75x3.65-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Residential-_-215-Madision-_-Residence-3.125x3-3-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Residential-_-215-Madision-_-Residence-3.125x3-1-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Residential-_-215-Madision-_-Residence-3.125X3-2-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Residential-_-215-Madision-_-Residence-5.475x3-1.jpg,"Upper East Side","We created a comfortable and functional open-concept home for a young family by combining three penthouse apartments enhanced by a 5,500 sq ft roof deck. Challenges: Build new kitchen over terrace space to bring light into apartment, rebuild existing brick bulkhead with extensive structural work to support new water tower, install custom steel staircase with tight tolerances in finished stairwell. Creating an open floor plan with structural and mechanical constraints required carefully balancing the owner’s budget and the design team’s vision. Streamline's role was GC, and we self performed the millwork.",3400,"General Contractor + Millwork","Lynch Eisinger Design",
527,"53rd st studio","2019-12-29 03:16:00",https://www.staging8.streamlineusa.com/residential/hells-kitchen-apt-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Murray-Hill-Featured.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Murray-Hill-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL4.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL3.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL5.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL7.jpg,"Murray Hill","Our goal was to gut renovate a poorly laid out apartment and modernize it. This project was on the 31st floor- 2 bedroom 2.5 bathroom apartment. Challenges: Working in a high rise building with multiple construction projects going on. Elevator use and logistics for operations is always a challenge. Bringing to life the vision of the design team within the budget of the client. Lessons: Having all the design intent worked out prior to start of the project. Utilizing the budget as a base line in design. Using the amazing views of the city as a back drop always creates a nice working environment. Streamline's role was GC, and we self performed the millwork.",2000,"General Contractor + Millwork","SWA Architecture",
531,"West Village Townhouse","2019-12-03 03:18:00",https://www.staging8.streamlineusa.com/residential/west-village-townhouse-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/1-1.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/West-Village-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/12.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/14.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/17.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/3.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/8.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/9.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/10.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/11.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/13.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/15.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/16.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/4.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/7.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/07/West-Village-Townhouse-Lrg-scaled.jpg,"West Village","A 5,500 sq ft full gut renovation of an existing 4 story townhouse. We added a penthouse extension to the house, elevator and a passive thermo rating, creating a truly elegant traditional townhouse. Working side by side with very old neighboring properties and requiring seismic monitoring during the process. We worked together with the architects and designers during the rollout of the full design package while taking into account all the details required. Streamline was the General Contractor for this project.",5500,"General Contractor","Barlis Wedlick","Barlis Wedlick"
534,"Thompson St. Studio","2019-12-28 03:21:00",https://www.staging8.streamlineusa.com/residential/thompson-st-studio-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/THOMPSON_STUDIO-Featured-scaled.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/THOMPSON_STUDIO-Featured-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/THOMPSON_STUDIO3-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/THOMPSON_STUDIO1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/THOMPSON_STUDIO4-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/THOMPSON_STUDIO5-scaled.jpg,SOHO,"The project involved gut renovating a studio apartment on the 5th floor. We modernized the entire space, while dealing with a crooked ceiling and floor joists. We utilized existing landmarked windows and made them perfect again. Challenge: The building didn't have a freight elevator or mechanical, and piping was from the turn of the century. Streamline's role was GC, and we self performed the millwork.",600,"General Contractor + Millwork","SWA Architecture",
537,"St. Lukes Place townhouse","2019-12-09 03:38:09",https://www.staging8.streamlineusa.com/residential/west-village-townhouse/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/W23-Featured.jpg.png,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-manhattan-townhouse-04.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-manhattan-townhouse-05.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-manhattan-townhouse-03.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-manhattan-townhouse-02.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-manhattan-townhouse-01.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-manhattan-townhouse-01a.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-manhattan-townhouse-06.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-manhattan-townhouse-07.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-manhattan-townhouse-08.png,Chelsea,"A 2,200 sq ft gut renovation and modernization of a very old townhouse with backyard and mezzanine level. We digged down to make more head space in the basement level, along with modernizing the interior. Challenges: Digging out the back yard and dealing with structural cracks in the buildings facade after demolition. Post hurricane Sandy plumbing and basement work was critical to the new beautiful renovation. Streamline's role was GC, and we self performed the millwork.",2200,"General Contractor + Millwork","Tersigni Palachek Design","Tersigni Palachek Design"
540,"Upper East Side Penthouse","2019-12-01 03:39:00",https://www.staging8.streamlineusa.com/residential/west-23rd-townhouse/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-Featured.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-5.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-4.jpg,"Upper East Side","A 1,700 sq ft gut renovation of an Upper East Side penthouse, 2 bedroom apartment with all custom millwork. We produced a fully customized outdoor experience, adding curves to the kitchen to allow the space to flow. One notable challenge was dealing with neighbors below during electrical upgrades and the work on the roof deck. We always worked closely with the building's super to preserve the roof membrane and warranties as we rebuilt the roof deck. Streamline's role was GC, and we self performed the millwork.",1700,"General Contractor + Millwork",,"SWA Architecture"
546,"Versa at the Marriott Renaissance","2019-12-29 22:34:21",https://www.staging8.streamlineusa.com/commercial/versa-marriott/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Versa-3.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Versa-3.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Hospitality-_-218-W35-_-RocknReillys-3.125x3-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Hospitality-_-218-W35-_-RocknReillys-5.475x3-2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Hospitality-_-218-W35-_-RocknReillys-3.125x3-2-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Versa-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Versa-2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Featured-Rock-and-Rileys-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Versa-4.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/versa-canopy2.jpg,"Herald Square","Our mission was to build a mega restaurant with retractable roof Versa, in the brand new Marriott Renaissance Hotel. This included coordination of three participating design teams. A custom fabricated retractable roof was lifted in sections with a crane to the rooftop of an adjacent property for assembly before being slid into place. Large critical path items, like the retractable roof, needed to be carefully planned to coordinate with a new high rise building still under construction. Streamline's role for this project was Construction Manager.",18000,"Construction Manager","Celano Design",
549,Gunter-Seeger,"2019-12-29 22:38:07",https://www.staging8.streamlineusa.com/commercial/gunter-seeger-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Gunter-3.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Gunter-3.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BLURRY.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Gunter-4.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Gunter-Updated-Featured-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Gunter-2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Gunter-Seeger-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Gunter-1.jpg,"West Village","Streamline worked with internationally acclaimed Chef Gunter Seeger’s design team to create his first New York restaurant, designed to evoke the feeling of dining at home. We had an extremely tight time frame compounded by coordinating with the UK based design team and long lead time, custom kitchen appliances and fixtures. Identifying the client ’s vision of the desired atmosphere of the space was critical to determine framing and mechanical decisions required at the outset of the job. Streamline's role was GC, and we self performed the millwork.",3300,"General Contractor + Millwork","AWI Interiors",
552,"Duane Street Penthouse","2019-12-29 22:39:58",https://www.staging8.streamlineusa.com/residential/duane-street-penthouse/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/MEX1.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8194-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8169-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8159-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8154-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8120-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8110-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8080-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8040-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8035-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8020-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4145-2-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3995-2-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3990-2-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3975-2-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3830-2-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4150.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4145-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4140.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4135.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4130.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4125.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4115.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4105.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4095.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4090.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4085.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4075.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4065.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4060.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4050.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4045.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4041.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4036.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4025.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4016.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4012.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4000.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3995-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3990-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3980.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3975-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3965.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3960.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3955.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3945.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3940.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3935.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3930.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3920.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3915.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3910.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3905.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3900.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3895.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3890.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3885.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3875.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3870.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3865.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3860.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3855.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3850.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3840.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3835.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3830-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3820.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3815.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3810.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3805.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3800.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3795.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3975-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3830-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8194-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8169-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8159-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8154-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8120-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8110-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8080-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8040-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8035-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20211021_129DuaneSt-8020-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-4145-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3995-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3990-scaled.jpg,Tribeca,"Refurbishing an existing penthouse loft and converting the space and roof-deck into the ultimate bachelor pad. Designed by owner Dean Winters and assisted by Diana Gomes interiors, every detail was carefully thought out to capture the vision. Rubber isolated sub floors and sound insulation throughout make the main floor in this mega loft ready to handle the noise of a proper NYC gathering. The Roof deck boasts a gas fire pit and outdoor shower with IPE wood surrounds on both the facade and shower enclosure as well as Nana Doors that open from end to end at the playroom and wet bar. The custom millwork is by Arte Brotto making the interiors warm and cozy. Specialty venetian plaster finishes throughout.",4000,"General Contractor","Dean Winters and Diana Gomez","SWA Architecture"
555,"Indeed Corporate Office Suite","2019-12-29 22:41:26",https://www.staging8.streamlineusa.com/commercial/indeed-corporate-office-suite/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Indeed-Updated-Featured.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Commercial-Indeed-02-2.155x2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Commercial-Indeed-01-4x5.65.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Commercial-Indeed-06-3x2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Commercial-Indeed-03-2.155x3.445.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Indeed-Pic.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Commercial-Indeed-07-1.4x2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1216-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1211-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1212-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1217-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Commercial-Indeed-04-2x4.7875-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1215-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Commercial-Indeed-05-2x2.155-1.jpg,Midtown,"Streamline gut renovated 36,000 sq ft on 3 floors in the Hippodrome building for a massive state of the art office space. Challenge: Working in an active corporate office building with quiet floors above and below, on a 12 week timeline. We created a strict project schedule starting at 5am, with quiet time from 9am-2pm, then working until midnight. Streamline performed the carpentry and millwork.",36000,"Carpentry + Millwork",,
558,"Atrium Corporate Office","2019-12-29 22:43:52",https://www.staging8.streamlineusa.com/commercial/autrium-corporate-office/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-5.65x4.11.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-5.65x4.11-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-3.69x1.91-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-1.71x1.90-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-8.0x2.25.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-1.71x1.91-1.jpg,NoHo,"Streamline created a custom blackened steel look for a fashion company’s corporate office space. The owner realized his vision of creating a space that combined both new and old elements and styles. In the beginning, we decided to perform all welding onsite which allowed smooth installation of the featured custom steel windows. Keeping deliveries to a minimum enabled us to adhere to the rigorous schedule and finish the job on time and budget. Challenge: Complete work in a building with numerous restrictions and a tight schedule to the move-in date. Streamline's role was GC, and we self performed the millwork.",5000,"General Contractor + Millwork",,"Bang 3 Design"
